id	tgt_text
441	▁thats ▁what ▁i ▁think ▁the ▁most ▁important ▁thing ▁for ▁a ▁child ▁is ▁to ▁be ▁ able ▁to ▁grow ▁up ▁in ▁an ▁environment ▁with ▁strong ▁parents ▁so ▁they ▁can ▁be ▁pro ud ▁and ▁happy
454	▁now ▁people ▁can ▁not ▁recognize ▁me ▁i f ▁i ▁take ▁off ▁my ▁fe do ra
457	▁my ▁personal ▁life ▁so ▁i f ▁i ▁want ▁to ▁walk ▁around ▁comfortably ▁they ▁won t ▁notice ▁me ▁i f ▁i ▁wear ▁a ▁ hat
543	▁i ▁we nt ▁to ▁school ▁dur ing ▁the ▁day ▁i ▁we nt ▁to ▁this ▁group ▁at ▁night
581	▁i f ▁im ▁going ▁to ▁use ▁a ▁song ▁call ed ▁love ▁dear ly ▁then ▁you ▁need ▁to ▁get ▁permission
632	▁its ▁a ▁love ▁break up ▁story ▁but ▁i ▁want ▁to ▁say ▁goodbye ▁to ▁cor on a
662	▁this ▁time ▁let s ▁have ▁the ▁nine ▁mo nk s ▁go ▁out ▁to ▁the ▁public
689	▁over ▁there
701	▁this ▁is ▁the ▁basic ▁desire ▁for ▁us ▁to ▁live ▁it ▁complete ly ▁eliminate s ▁that ▁desire
730	▁the ▁general ▁public ▁the ▁general ▁public
788	▁im ▁like ▁this ▁these ▁days ▁now ▁because ▁of ▁covid 19 ▁but ▁i ▁just ▁want ▁to ▁share ▁a ▁lot ▁with ▁my ▁mom ▁when ▁my ▁mom ▁is ▁healthy
831	▁in ▁fact ▁back ▁in ▁those ▁days ▁there ▁was ▁no ▁photos hop ▁and ▁makeup ▁was nt ▁that ▁advance d ▁but ▁how ▁did ▁you ▁look ▁that ▁beautiful
833	▁i ▁think ▁thats ▁why ▁you ▁look ed ▁more ▁confident ▁and ▁more ▁than ▁anything ▁you ve ▁receiv ed ▁enough ▁love ▁from ▁your ▁mom
920	▁i ▁ended ▁up ▁basic ally ▁walk ing ▁with ▁them
955	▁a ▁lot ▁of ▁people ▁sa w ▁him ▁to ugh ▁through ▁the ▁program ▁of ▁the ▁show ▁or ▁other ▁tv ▁programs
957	▁since ▁you ▁are ▁here ▁you ▁should ▁speak ▁ill ▁of ▁your ▁husband ▁but ▁i ▁feel ▁like ▁you ▁will ▁just ▁brag ▁about ▁your ▁husband
962	▁i ▁talk ed ▁about ▁this ▁a ▁lot ▁im ▁so rry ▁for ▁those ▁who ▁are ▁bor ed ▁when ▁miss ▁korea ▁was ▁happen ing ▁i ▁we nt ▁to ▁the ▁contest
979	▁did ▁he ▁real ly ▁ask ▁you ▁will ▁you ▁real ly ▁ma rry ▁me ▁this ▁kind ▁of ▁thing
1032	▁thats ▁right ▁so ▁i ▁felt ▁a ▁lot ▁of ▁press ure ▁every body ▁said ▁it ▁would ▁be ▁nice ▁to ▁ma rry ▁a ▁star ▁where ver ▁i ▁go
1155	▁when ▁we ▁first ▁met ▁my ▁husband ▁was ▁ very ▁rough ▁and ▁i ▁us ed ▁to ▁like ▁people ▁who ▁are ▁a ▁bit ▁calm
1185	▁it ▁continues ▁to ▁rain ▁all ▁after n oon ▁today ▁it ▁is ▁a lso ▁said ▁that ▁there ▁are ▁places ▁where ▁strong ▁wind s ▁blow ▁ depend ing ▁on ▁the ▁region
1217	▁you ▁know ▁season ▁1 ▁made ▁a ▁fu s s ▁and ▁fli pped ▁everything ▁up side ▁down ▁but ▁you ll ▁know ▁the ▁reason
1285	▁do ▁you ▁remember ▁that ▁feeling ▁when ▁you ▁first ▁started ▁living ▁alone
1291	▁i ▁ kept ▁my ▁dream ▁and ▁got ▁married ▁but ▁i ▁could nt ▁give ▁up ▁on ▁that ▁dream ▁so ▁i ▁got ▁permission ▁from ▁my ▁parentsinlaw ▁i ▁became ▁an ▁tv ▁actress
1366	▁i ▁had ▁one
1385	▁since ▁then ▁we ▁are ▁all ▁going ▁through ▁a ▁difficult ▁time ▁together ▁these ▁days ▁but ▁laugh ing ▁is ▁possibl e ▁i f ▁you ▁try
1389	▁its ▁hard ▁these ▁days ▁because ▁of ▁covid ▁19 ▁but ▁work ▁comes ▁in ▁from ▁here ▁and ▁there ▁i ▁just ▁happen ▁to ▁sing ▁and ▁give ▁lecture s ▁so ▁i ▁go ▁around ▁a ▁lot
1402	▁when ▁i ▁sold ▁everything ▁and ▁we nt ▁back ▁home ▁i ▁just ▁sang ▁out ▁of ▁joy ▁and ▁ran ▁back ▁home
1424	▁celebrities ▁know ▁wh ether ▁the ▁director ▁give s ▁a ▁good ▁role ▁or ▁a ▁bad ▁role ▁when ▁he ▁bring s ▁the ▁ script
1447	▁i ▁need ▁to ▁find ▁a ▁way ▁to ▁live ▁in ▁fact ▁i ve ▁be en ▁put ting ▁off ▁some ▁things ▁while ▁doing ▁politic s ▁there s ▁a ▁lab
1457	▁even ▁now ▁there ▁are ▁man y ▁issue s ▁of ▁violence ▁in ▁the ▁s ports ▁world ▁child ▁ab use ▁issue s ▁and ▁disaster s ▁but ▁see ing ▁the ▁ national ▁as s emb ly ▁that ▁keep s ▁fighting ▁with out ▁work ▁my ▁heart ▁was ▁too ▁heavy
1491	▁then ▁again ▁i ▁had ▁an ▁accident ▁and ▁report ed ▁the ▁wrong ▁person ▁again
1520	▁after ▁that ▁im ▁ sure ▁man y ▁of ▁you ▁know ▁how ▁much ▁you ve ▁be en ▁teach ing ▁at ▁the ▁polic e ▁university ▁and ▁devote d ▁yourself ▁to ▁foster ing ▁your ▁juniors
1529	▁so ▁the ▁problem ▁with ▁ju veni le ▁delinquen cy ▁right ▁now ▁is ▁that ▁some ▁of ▁these ▁friends ▁commit ▁more ▁serious ▁and ▁violen t ▁crime s ▁than ▁an ▁adult
1576	▁but ▁i ▁dont ▁remember ▁him ▁i ▁dont ▁remember ▁but ▁i ▁do ▁remember ▁lim ▁you ngwoo ng ▁once
1638	▁i ▁sang ▁a ▁lot ▁of ▁popular ▁songs
1696	▁he ▁does ▁it ▁himself ▁i ▁us ed ▁to ▁give ▁him ▁some ▁advi ce ▁but ▁now ▁he ▁does ▁it ▁himself
1731	▁any way ▁thank ▁you ▁two ▁for ▁coming ▁out ▁this ▁morning
1801	▁as ▁you ▁all ▁know ▁shin ▁sung ▁is ▁a ▁good ▁son
1807	▁but ▁any way ▁going ▁back ▁to ▁your ▁home town ▁would ▁not ▁have ▁be en ▁an ▁easy ▁decision
1811	▁in ▁my ▁case ▁there s ▁a ▁company ▁call ed ▁cu be ▁entertain ment ▁and ▁it ▁was ▁an ▁idol ▁company
1815	▁so ▁the ▁m c s ▁and ▁the ▁people ▁around ▁me ▁recommend ed ▁chang ing ▁my ▁name ▁they ▁said ▁names ▁that ▁can ▁catch ▁your ▁ears ▁when ▁you ▁call ▁them ▁are ▁successful
1842	▁i d ▁like ▁to ▁ask ▁you ▁what ▁you ▁felt ▁through ▁this ▁farm ing ▁expe dition
1910	▁but ▁when ▁i ▁see ▁them ▁i ▁think ▁of ▁my ▁parents ▁and ▁think ▁of ▁them ▁as ▁my ▁mom ▁and ▁dad
1966	▁but ▁i ve ▁never ▁hear d ▁that ▁m t ki lim an ja ro ▁is ▁gentle
2054	▁i ▁did ▁it ▁for ▁the ▁first ▁time ▁since ▁when ▁i ▁was ▁young ▁my ▁mom ▁like d ▁bae ▁ho ▁who ▁was ▁a ▁senior ▁so ▁i ▁gre w ▁up ▁listen ing ▁to ▁a ▁lot ▁of ▁those ▁songs
2059	▁but ▁i ▁got ▁that ▁ courage ▁because ▁i ▁tri ed ▁se w ing ▁and ▁sell ing ▁to y s ▁in ▁america ▁but ▁what ▁else ▁cant ▁i ▁do
2086	▁because ▁i ▁we nt ▁in ▁my ▁twent ies ▁and ▁came ▁back ▁in ▁my ▁thir ties ▁thats ▁why ▁i ▁have ▁both ▁kim ▁and ▁jin ▁in ▁my ▁name
2114	▁i ▁hope ▁you ▁get ▁comfort ed ▁by ▁jin ▁mi ry ung s ▁songs
2188	▁i ▁started ▁my ▁first ▁work ▁han ▁wo ons as ▁the ▁snow ▁blow s ▁i ▁was ▁a ▁fe male ▁cle rk ▁there
2211	▁that ▁we ▁can ▁relate ▁to ▁each ▁other ▁even ▁i f ▁we ▁on ly ▁call ▁once ▁or ▁twice ▁a ▁year
2231	▁but ▁on ▁the ▁other ▁hand ▁i ▁was ▁so ▁thankful
2245	▁and ▁since ▁i ▁was ▁young ▁i ▁mus t ▁have ▁be en ▁more ▁greed y ▁but ▁i ▁did ▁a ▁great ▁job ▁so ▁it ▁was ▁a ▁famous ▁piece
2259	▁but ▁this ▁writer ▁told ▁me ▁that ▁i ▁had ▁to ▁be ▁que en ▁won gyeong ▁the ▁role ▁of ▁a ▁mom
2310	▁i ▁have ▁a ▁thought ▁that ▁i ▁should ▁call ▁you ▁so ▁i ▁think ▁it ▁would ▁be ▁better ▁not ▁to ▁open ▁up ▁this ▁much
2329	▁i f ▁you ▁make ▁a ▁mistake ▁you ▁can ▁cut ▁it ▁like ▁this ▁and ▁do ▁it ▁over ▁and ▁over ▁again
2338	▁i ▁receiv ed ▁a ▁lot ▁of ▁fan ▁letter s ▁but ▁there ▁are ▁a ▁few ▁that ▁i ▁can ▁still ▁remember
2339	▁yes ▁it ▁seem s ▁that ▁the ▁song ▁remind ed ▁them ▁of ▁a ▁lot ▁of ▁the ▁good ▁old ▁days ▁yes ▁they ▁ga ve ▁up ▁the ▁div orce ▁and ▁we nt ▁back ▁down sta irs ▁again ▁thank ▁you
2361	▁but ▁its ▁a ▁song ▁where ▁you ▁can ▁feel ▁yoon ▁shinae s ▁personality
2376	▁occasion ally ▁i ▁said ▁it ▁once ▁to ▁make ▁you ▁laugh ▁but ▁now ▁i
2401	▁yoon ▁shinae ▁has ▁never ▁let ▁go ▁of ▁a ▁song ▁since ▁her ▁debut ▁she s ▁live d ▁on ly ▁with ▁his ▁pass ion ▁for ▁singing
2442	▁it ▁can ▁be ▁told ▁that ▁his ▁health ▁is ▁important ▁as ▁our ▁own ▁health
2449	▁then ▁she ▁a lso ▁said ▁she ▁hear d ▁i ▁was ▁sick ▁she ▁said ▁i ▁should ▁take ▁care ▁of ▁my ▁health ▁when ▁im ▁sick ▁the ▁whole ▁of ▁korea ▁will ▁be ▁sick
2494	▁jang ▁yoon jung ▁who ▁is ▁so ▁hot ▁these ▁days ▁a lso ▁was ▁from ▁the ▁ national ▁singing ▁contest
2502	▁lo ad s ▁of ▁protest ▁post c ards ▁were ▁sent ▁even ▁i f ▁the ▁world ▁has ▁changed ▁so ▁much ▁how ▁could ▁the ▁daughter inlaw ▁sing ▁and ▁the ▁mom ▁dance
2542	▁snow y ▁night ▁bus an ▁port ▁w eeping ▁prosecut or ▁and ▁fe male ▁teacher ▁dont ▁cry ▁two ▁ sibl ing s ▁hung do ▁dont ▁cry ▁these ▁were ▁the ▁shows
2592	▁this ▁is ▁jae sung ▁choi ▁nice ▁to ▁meet ▁you
2605	▁this ▁line up ▁is ▁like ▁gold ▁as ▁i ▁say ▁this ▁i ▁know ▁that ▁it ▁is ▁not ▁easy ▁in ▁the ▁current ▁drama ▁production ▁environment
2623	▁i ▁happen ed ▁to ▁see ▁it ▁and ▁i ▁got ▁excited ▁when ▁i ▁got ▁in to ▁the ▁first ▁round ▁yeah ▁so ▁i ▁got ▁in to ▁the ▁second ▁round
2686	▁so ▁i ▁think ▁i ▁show ed ▁the ▁most ▁desir able ▁image ▁of ▁a ▁mentor ▁and ▁so ▁man y ▁people ▁seem ▁to ▁have ▁love d ▁it
2730	▁and ▁she ▁said ▁try ▁to ▁think ▁less ▁but ▁i ▁just ▁could nt ▁think ▁less ▁i ▁was ▁constantly ▁worri ed ▁about ▁acting
2740	▁regard less ▁of ▁wh ether ▁i ▁did ▁well ▁or ▁not ▁i ▁gain ed ▁conf idence ▁in ▁my ▁mind ▁when ▁i ▁encounter ed ▁acting ▁in ▁a ▁new ▁role
2742	▁never ▁stop ▁for ▁your ▁fans
2787	▁im ▁not ▁in ▁the ▁m ood ▁to ▁sing ▁these ▁days
2820	▁i ▁came ▁to ▁kb s ▁as ▁a ▁representative ▁and ▁sang ▁since ▁then ▁i ▁started ▁singing ▁as ▁a ▁singer
2893	▁even ▁this ▁song ▁was ▁actually ▁made ▁fift een ▁years ▁ago ▁when ▁it ▁was ▁well ▁know n ▁and ▁love d ▁by ▁everyone
2901	▁actually ▁its ▁more ▁comfortable ▁to ▁sing ▁when ▁i ▁have ▁a ▁child ▁of ▁cause ▁its ▁heavy ▁but ▁i ▁feel ▁st able
2945	▁ill ▁show ▁you ▁a ▁beautiful ▁song ▁that ▁does nt ▁change ▁like ▁this ▁again
2954	▁we ▁dont ▁allow ▁to ▁be ▁left ▁alone
2968	▁its ▁be en ▁about ▁sevent een ▁years ▁the ▁reason ▁why ▁we ▁tri ed ▁to ▁start ▁something ▁like ▁that
3024	▁and ▁i ▁enter ed ▁a ▁complete ly ▁different ▁world ▁in ▁the ▁unit ed ▁states
3031	▁then ▁after ▁an other ▁three ▁years ▁of ▁hard ▁teach ing ▁i ▁was ▁prob ably ▁in ▁my ▁mid 30 s ▁i ▁thought ▁i ▁had ▁to ▁go ▁for ▁music ▁before ▁it ▁was ▁too ▁late
3036	▁so ▁i ▁want ed ▁to ▁keep ▁the ▁dream ▁of ▁my ▁30 s ▁on ▁two ▁sheet s ▁of ▁paper
3047	▁i ▁said ▁i ▁want ▁to ▁d ate ▁professor ▁ yun ▁serious ly ▁how ▁do ▁you ▁think
3085	▁four th ▁it ▁is ▁better ▁to ▁understand ▁than ▁to ▁be ▁understood
3117	▁a lso ▁work ▁hard ▁as ▁the ▁ceo ▁of ▁an san ▁cultur al ▁found ation ▁a lso ▁professor ▁you ▁should ▁never ▁give ▁up ▁your ▁dream ▁of ▁music ▁while ▁teach ing ▁students
3132	▁a mong ▁the ▁actors ▁who ▁were ▁there ▁kim ▁he e gap ▁and ▁hwa ng ▁jung soon ▁and ▁other ▁people ▁i ▁remember ▁that ▁they ▁all ▁c aught ▁a ▁cold
3175	▁may be ▁they ▁make ▁a ▁p ool ▁in ▁the ▁middle ▁swim ▁and ▁do ▁all ▁s orts ▁of ▁things
3208	▁for ▁the ir ▁happiness ▁they ▁to ok ▁the ir ▁s ins ▁and ▁were ▁will ing ▁to ▁be ar ▁the ▁pain ▁and ▁ill ▁a lso ▁stand ▁up ▁and ▁say
3211	▁say ▁a ▁word ▁for ▁20 ▁minute s ▁then ▁how ▁long ▁will ▁the ▁play ▁run
3221	▁there ▁were ▁students ▁gather ed ▁there ▁and ▁i ▁look ed ▁at ▁them ▁and ▁they ▁were ▁hold ing ▁prop s ▁and ▁put ting ▁on ▁makeup
3259	▁i ▁had ▁to ▁go ▁to ▁school ▁but ▁i ▁did nt ▁have ▁any ▁tuition
3269	▁the ▁government ▁treat s ▁me ▁like ▁a ▁man ▁of ▁ national ▁me rit ▁im ▁ very ▁thankful ▁for ▁that
3272	▁the ▁story ▁of ▁becom ing ▁a ▁voice ▁actor ▁after ▁overcom ing ▁a ▁competition ▁ rate ▁of ▁1000 ▁to ▁1 ▁but ▁quit ting ▁in ▁a ▁year
3292	▁now ▁everything ▁i ▁do ▁because ▁i ▁want ▁to ▁do ▁a ▁play ▁is ▁because ▁i ▁want ▁to ▁do ▁a ▁play ▁but ▁i ▁get ▁p aid ▁there
3300	▁i ▁ask ed ▁what ▁my ▁clothes ▁were ▁and ▁what s ▁wrong ▁with ▁my ▁clothes ▁and ▁they ▁said ▁what s ▁going ▁on ▁with ▁my ▁jean s
3304	▁why ▁are ▁you ▁always ▁in ▁good ▁places ▁but ▁there s ▁something ▁about ▁it ▁when ▁your e ▁in ▁heaven
3308	▁she ▁kn its ▁and ▁say s ▁lines
3342	▁i ▁can ▁play ▁for ▁years ▁with out ▁pay ing ▁att ention ▁to ▁others ▁thats ▁why ▁i ▁started ▁it
3377	▁so ▁i ▁just ▁said ▁hello ▁and ▁came ▁out ▁that ▁that ▁that ▁piece ▁of ▁work ▁that ▁windmill ▁in ▁my ▁heart
3394	▁there s ▁no ▁place ▁more ▁preci ous ▁to ▁me ▁than ▁this ▁it ▁was ▁just ▁some ▁way ▁to ▁get ▁here ▁with ▁the ▁decision s ▁i ▁made
3521	▁are nt ▁you ▁on ly ▁going ▁to ▁see ▁things ▁that ▁are ▁relevant
3559	▁yes
3563	▁i ▁think ▁it ▁look s ▁more ▁similar ▁because ▁its ▁in ▁a ▁side ▁view ▁like ▁this ▁but ▁i ▁feel ▁a ▁little ▁so rry ▁for ▁kim ▁hyes u
3594	▁where ▁is ▁the ▁worry free ▁life
3607	▁i ▁did nt ▁even ▁know ▁what ▁a ▁tv ▁actor ▁was
3620	▁it ▁was ▁a ▁support ing ▁role ▁then
3656	▁i ▁think ▁your ▁pres ence ▁was ▁amazing
3714	▁i ▁work ed ▁with ▁dong a ▁export ▁i ▁remember ▁on ly ▁the ▁company ▁because ▁it ▁was ▁kind ▁of ▁cool ▁back ▁then
3715	▁so ▁we ▁met ▁and ▁they ▁said ▁this ▁is ▁a ▁collaboration ▁movie
3767	▁she ▁just ▁look ed ▁like ▁a ▁tomb oy ▁thats ▁what ▁i ▁meant
3789	▁it ▁was ▁not ▁easy ▁to ▁experience ▁wear ing ▁a ▁we d d ing ▁ve il ▁at ▁that ▁age
3799	▁my ▁high ▁school ▁was ▁in ▁im un dong ▁when ▁i ▁came ▁back ▁from ▁high ▁school
3821	▁should ▁i ▁film ▁a ▁dance ▁they ▁look ed ▁at ▁me ▁like ▁this ▁again ▁and ▁told ▁me ▁to ▁apply ▁for ▁an ▁actor
3958	▁i ▁was ▁like ▁ oh ▁real ly ▁when ▁i ▁look ▁back ▁i ▁think ▁there s ▁always ▁be en ▁someone s ▁help ▁yes ▁always
4016	▁in ▁a ▁way ▁hes ▁sens itive ▁so ▁man y ▁of ▁those ▁masterpieces ▁can ▁be ▁created
4079	▁your ▁mouth ▁is ▁warm ed ▁up ▁we ▁talk ed ▁about ▁na ▁hun a ▁for ▁a ▁long ▁time ▁i f ▁hes ▁a ▁big ▁mountain ▁he ▁could ▁be ▁a ▁reli able ▁hill
4124	▁the ▁concert ▁was ▁hel d ▁every ▁evening ▁but ▁it ▁was ▁practice ▁time ▁for ▁me
4219	▁the ▁ju veni le ▁trial ▁was ▁a ▁three minute ▁cup ▁noodle ▁trial
4221	▁in ▁fe bru ary ▁of ▁201 0 ▁i ▁we nt ▁to ▁chang won ▁to ▁deal ▁with ▁case s ▁and ▁that ▁was ▁when ▁the ▁number ▁of ▁ju veni le ▁case s ▁was ▁the ▁highest
4230	▁thats ▁right ▁one ▁day ▁i ▁yell ed ▁at ▁a ▁teenager
4248	▁so ▁i ▁think ▁about ▁the ▁lives ▁of ▁children ▁the ▁disposition ▁before ▁the ▁10 th ▁disposition ▁is ▁the ▁9 th ▁disposition
4293	▁they re ▁living ▁in ▁the ir ▁own ▁room ▁individual ly
4336	▁ill ▁tell ▁you ▁after ▁i ▁change ▁it
4402	▁and ▁there ▁was ▁an ▁older ▁sister ▁name d ▁le e ▁youngj oo ▁as ▁soon ▁as ▁she ▁came ▁out ▁she ▁we nt ▁somewhere
4413	▁how ever ▁it ▁is ▁not ▁easy ▁to ▁switch ▁to ▁an ▁adult ▁when ▁the ▁image ▁of ▁highte en ▁is ▁fix ed ▁at ▁that ▁time ▁the ▁director s ▁said ▁he y ▁you ▁should ▁grow ▁a ▁little ▁bit ▁more
4421	▁my ▁face ▁is ▁all ▁red
4422	▁with ▁strong ▁ unni ▁on ▁the ▁show ▁my ▁calm ▁and ▁mode st ▁image ▁disappear s ▁quickly
4468	▁in ▁this ▁way ▁lim ▁misook ▁could ▁have ▁thought ▁different ly ▁but ▁kim ▁hakrae ▁want ed ▁to ▁have ▁lim ▁misook
4505	▁you ve ▁never ▁writ ten ▁a ▁con tract ▁like ▁that ▁before ▁right
4568	▁i f ▁you ▁have ▁any ▁help ▁in ▁the ▁past
4569	▁no ▁even ▁i f ▁you ▁dont ▁its ▁good ▁to ▁give
4586	▁i ▁did nt ▁even ▁know ▁what ▁acting ▁was ▁but ▁me lo drama tic ▁acting ▁was ▁real ly ▁popular ▁when ▁i ▁debuted
4613	▁you ▁have ▁a ▁lot ▁of ▁colle ague s ▁who ▁remember ▁my ▁dad ▁thats ▁what ▁i ▁thought
4635	▁i d ▁like ▁to ▁invite ▁you ▁to ▁some ▁of ▁the ▁seat s ▁on ▁t ues day ▁my ▁father ▁was ▁a ▁great ▁man
4643	▁do ▁i ▁have ▁to ▁pre ten d ▁to ▁be ▁busy ▁to ▁increase ▁the ▁value
4679	▁dad ▁your e ▁real ly ▁different ▁from ▁the ▁scr een ▁he ▁has ▁a ▁lot ▁of ▁wit ▁like ▁me
4745	▁im ▁so ▁glad ▁that ▁im ▁here ▁as ▁a ▁guest ▁seat ▁for ▁a ▁star
4891	▁still ▁i ▁sent ▁a ▁letter ▁for ▁30 ▁years ▁in ▁two ▁weeks
4896	▁may be ▁because ▁my ▁uncle ▁was ▁a ▁pri est ▁yes ▁you ▁did nt ▁object ▁he ▁did nt ▁object ▁to ▁going ▁abroad
4990	▁should ▁i ▁sing ▁je n n ies ▁so lo ▁as ▁a ▁trot ▁song ▁he ▁was ▁like ▁shin ing ▁so lo ▁go ▁there
5005	▁thats ▁right ▁the ▁old est ▁second ▁and ▁young est ▁well ▁split ▁it ▁up ▁and ▁ask ▁them
5012	▁a lso ▁i ▁hear d ▁that ▁ho ng ▁ja ▁who ▁was ▁amazing ▁volunteer ed ▁a ▁lot
5040	▁for ▁the ▁first ▁time ▁i ▁br ought ▁my ▁mom ▁to ▁a ▁department ▁store ▁to ▁buy ▁a ▁luxur y ▁w allet
5046	▁its ▁not ▁that ▁exp ensive ▁i ▁we nt ▁confidently
5069	▁i ▁b ought ▁miss ▁trot ▁members ▁a ▁lot ▁i f ▁they ▁were nt ▁here
5070	▁in ▁my ▁case ▁i ▁have ▁two ▁older ▁brother s ▁and ▁they ▁both ▁ma rry ▁and ▁give ▁birth ▁to ▁stor ies ▁so ▁you ▁always ▁have ▁to ▁go ▁to ▁me ▁like ▁a ▁th orn ▁in ▁the ▁side
5073	▁he ▁won t ▁tell ▁me ▁but ▁in ▁your ▁case ▁i ▁got ▁all ▁this ▁talent ▁from ▁him
5118	▁any way ▁you ▁walk ed ▁on ▁a ▁difficult ▁path ▁you ve ▁be en ▁a ▁regular ▁singer ▁for ▁quit e ▁a ▁while
5158	▁now ▁that ▁i ▁have ▁fans ▁im ▁singing ▁for ▁them
5169	▁for ▁me ▁teacher ▁joo ▁hyun mi
5182	▁morning ▁ yard ▁t ues day ▁invitation al ▁seat ▁today s ▁star ▁is ▁actor ▁le e ▁han wi ▁who ▁shin es ▁as ▁a ▁support ing ▁actor ▁i d ▁like ▁to ▁welcome ▁you ▁with ▁a ▁big ▁round ▁of ▁applause ▁once ▁again
5199	▁i ▁hear d ▁that ▁there ▁are ▁a ▁lot ▁of ▁good ▁work s ▁in ▁the ▁drama ▁special s ▁but ▁how ▁did ▁you ▁end ▁up ▁play ing ▁a ▁trot ▁singer ▁of ▁trot
5215	▁no ▁its ▁special ly ▁made ▁clothes ▁for ▁this ▁painting
5266	▁i ▁audi tion ed ▁but ▁i ▁failed ▁and ▁there ▁was ▁a ▁team ▁call ed ▁scam ph us ▁that ▁sang ▁there
5288	▁at ▁that ▁time ▁there ▁were ▁on ly ▁four ▁or ▁four ▁precis ion ▁mechani cal ▁engineer ing ▁department s ▁in ▁the ▁country
5324	▁so ▁you ▁have ▁to ▁wait ▁for ▁a ▁bit ▁and ▁hu rry ▁up ▁and ▁do ▁won bin ▁song ▁ seung he on ▁and ▁song ▁ha egy o
5449	▁so ▁how ▁did ▁your ▁husband ▁react ▁when ▁you ▁ask ed ▁him ▁to ▁div orce ▁you ▁when ▁we ▁said ▁let s ▁real ly ▁end ▁this ▁now
5488	▁but ▁what ▁will ▁my ▁husband s ▁friends ▁think ▁of ▁me ▁when ▁they ▁know ▁its ▁sui cide ▁let ▁me ▁see ▁her ▁face ▁i ▁think ▁thats ▁why ▁i ▁came ▁here
5497	▁what ▁happen ed ▁how ▁did ▁you ▁do ▁go ▁a head ▁be ▁patient ▁a ▁little ▁longer ▁some ▁reaction s ▁are ▁like ▁that
5510	▁this ▁is ▁the ▁home work ▁thats ▁left ▁i ▁dont ▁know ▁how ▁to ▁say ▁this
5551	▁to ▁be ▁honest ▁just ▁thinking ▁about ▁it ▁make s ▁me ▁happy ▁i ▁ kept ▁thinking ▁that ▁there s ▁no ▁one ▁around ▁me
5564	▁so ▁i ▁we nt ▁to ▁consult ▁with in ▁a ▁month ▁and ▁to ok ▁some ▁medicine ▁at ▁first ▁thats ▁why ▁i ▁recover ed ▁fast er
5671	▁those ▁are ▁thankful ▁word s ▁rich ▁people ▁have ▁no ▁reason ▁to ▁look ▁rich
5712	▁its ▁not ▁that ▁being ▁a ▁civil ▁ servant ▁is nt ▁a ▁bad ▁thing ▁but ▁thats ▁not ▁what ▁life ▁is ▁all ▁about
5716	▁people ▁who ▁dont ▁like ▁study ing ▁are ▁of ten ▁self employed
5764	▁i ▁came ▁to ▁seoul ▁this ▁world ▁is ▁so ▁nice ▁the ▁bus ▁is ▁set ▁up ▁so ▁well ▁in ▁seoul
